compound_id,base_rdkit_smiles,DILIst_Classification,cellcount_active,GSH_active,mitostruct_active,MMP_active,nucarea_active,nucmask_active,ROS_active
CID6322,NC(N)=NCCC[C@H](N)C(=O)O,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID70695641,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)NCCS(=O)(=O)[O-],0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
CID6436055,CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5709,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CID148192,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0
CID5361092,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
CID5742673,CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID6604200,O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID47528,O=C(NCCO[N+](=O)[O-])c1cccnc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID2913,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID40704,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
CID41774,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5426,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID54677971,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
